"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2020","53","PM2.5","Oakland","06-001-0009","AQS"
"01/02/2020","43","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"01/03/2020","74","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"01/04/2020","45","PM2.5","Livermore","06-001-0007","AQS"
"01/05/2020","33","PM2.5","Livermore","06-001-0007","AQS"
"01/06/2020","35","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"01/07/2020","49","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"01/08/2020","36","NO2","Laney College","06-001-0012","AQS"
"01/09/2020","32","Ozone","San Francisco","06-075-0005","AQS"
"01/10/2020","38","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"01/11/2020","37","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"01/12/2020","34","Ozone","San Francisco","06-075-0005","AQS"
"01/13/2020","39","NO2","San Francisco","06-075-0005","AQS"
"01/14/2020","33","Ozone","Concord","06-013-0002","AQS"
"01/15/2020","36","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"01/16/2020","35","Ozone","Hayward","06-001-2001","AQS"
"01/17/2020","42","NO2","Oakland West","06-001-0011","AQS"
"01/18/2020","42","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS"
"01/19/2020","44","PM2.5","Redwood City","06-081-1001","AQS"
"01/20/2020","63","PM2.5","Concord","06-013-0002","AQS"
"01/21/2020","34","NO2","Pleasanton - Owens Ct","06-001-0015","AQS"
"01/22/2020","40","NO2","Laney College","06-001-0012","AQS"
"01/23/2020","47","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"01/24/2020","48","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"01/25/2020","48","PM2.5","San Pablo","06-013-1004","AQS"
"01/26/2020","36","Ozone","San Pablo","06-013-1004","AQS"
"01/27/2020","41","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"01/28/2020","40","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"01/29/2020","49","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"01/30/2020","40","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS"
"01/31/2020","55","PM2.5","San Francisco","06-075-0005","AQS"
"02/01/2020","67","PM2.5","San Francisco","06-075-0005","AQS"
"02/02/2020","36","Ozone","San Francisco","06-075-0005","AQS"
